Industry  Name,Number of firms,Average Company Age (years),Market Cap ($ millions),Book Equity ($ millions),Enteprise Value ($ millions),Invested Capital ($ millions),Total Debt (including leases) ($ millions),Revenues ($ millions),Gross Profit ($ millions),EBITDA ($ millions),EBIT (Operating Income) ($ millions),Net Income ( $ millions)
Chemical (Specialty),59,73.28301886792453,441622.9749999999,173017.04200000004,551160.8654529098,201339.95045291004,131970.0274529101,208172.62300000005,73102.80599999998,41109.50899999997,25829.033109417986,6053.494999999999
Coal & Related Energy,16,56.46153846153846,23824.253000000004,7316.45,21944.561755545357,9977.745430895764,1701.7627555453628,8650.095,1285.3999999999999,703.2020000000001,-330.05255110907257,-183.88000000000002
Computer Services,64,32.46296296296296,423943.7760000001,83388.96499999997,504881.1375145135,72079.72364890964,106410.40751451337,341806.98900000006,82920.39200000002,35478.439000000006,26072.505497097325,15218.98
Computers/Peripherals,36,38.083333333333336,4333660.836000001,114471.667,4467248.232357294,194427.86305414076,200420.46635729528,673813.099,258442.992,174449.33500000002,151534.05892854088,119786.72600000002
Construction Supplies,40,63.45,566257.0549999997,94374.155,646470.4353625245,151955.26736252444,99785.53136252445,200035.55200000003,51054.015,38354.458,30551.491527495113,21569.83299999999
Diversified,20,42.0,1301997.8400000003,657734.074,1407835.0936940813,715171.6046658489,202495.84669408118,457067.803,117975.593,123146.277,104318.60526118377,74805.702
Drugs (Biotechnology),496,12.25522041763341,1600483.9590000028,192842.1049999999,1733218.2792254924,257509.76914837156,208700.1252254938,218894.7099999999,133046.16099999985,44582.38800000003,19176.552554901205,-10938.48400000001
Drugs (Pharmaceutical),228,17.925925925925927,2186138.6650000014,299620.04099999997,2424797.1036645467,377942.0840370806,317800.63666455,388630.616,278746.43200000015,146792.0860000001,114818.39086708993,72040.94099999998
Education,32,38.54838709677419,48661.207,15425.889999999994,55527.76940604802,14992.178751711446,11862.938406048012,27900.404,12783.184000000003,5762.645999999999,3778.1875187903966,2453.463
Electrical Equipment,112,31.61855670103093,550054.9919999999,82931.28699999998,594325.384686673,77742.24813091356,66024.35968667349,134439.79599999997,42780.814999999995,20332.115999999995,13109.556662665294,1265.0790000000004
Electronics (Consumer & Office),8,41.875,2434.87,828.49,2305.2814967330964,349.66070730777335,141.32749673309618,2533.74,982.395,-4.640999999999999,-107.72109934661924,-238.68199999999996
Electronics (General),114,39.78703703703704,518763.90900000004,88215.74600000001,551261.6932449412,81594.72320852311,57125.07024494096,171938.149,46018.652999999984,26185.792000000005,18084.526151011818,11129.061000000003
Engineering/Construction,48,48.31111111111111,264036.539,37981.532999999996,289777.48559253966,46978.53227841856,36995.41459253968,167014.57,25818.550999999996,16296.291,11280.34448149206,9927.423000000003
Entertainment,92,22.166666666666668,1001343.2329999997,188131.98199999993,1121648.536008516,197961.12638536462,159352.3760085165,258812.62499999994,107130.47400000002,51630.617000000006,26859.806798296704,11462.435999999992
Environmental & Waste Services,53,33.45238095238095,242996.59699999998,32867.507999999994,291427.72384604544,40009.29437741658,52116.61284604545,78749.883,28588.34600000001,18414.628,11695.63563079091,6487.485999999998
