Industry name,Number of firms,  Dividends , Net Income ,Payout,Dividends + Buybacks,Cash Return as % of Net Income,Dividends + Buybacks - Stock Issuances,FCFE (before debt cash flows),FCFE (after debt cash flows),Net Cash Returned/FCFE (pre-debt),Net Cash Returned/FCFE (post-debt),Net Cash Returned/ Net Income,Cash/ Firm Value
Furn/Home Furnishings,27,640.236,592.141,1.0812222088995695,1150.0729999999999,1.9422282868438427,1070.5739999999998,-123.0080000000005,1626.7510000000002,,0.6581056350971967,1.8079714122143205,0.04192766167124481
Green & Renewable Energy,15,45.1,-696.58,0.0012899800099950027,48.345,,45.213,-685.7310000000001,-7.838999999999942,,,-0.06490711763185851,0.019020611588943564
Healthcare Products,204,9780.43,27441.739000000023,0.3564070775543777,21628.873,0.7881742844358363,16730.756,25623.827000000027,16727.007000000005,0.6529374398289524,1.000224128560477,0.6096827901467902,0.032539271140781846
Healthcare Support Services,104,16728.049,33883.53199999998,0.4936925996971039,48292.14600000001,1.425239434897166,44852.50100000001,29519.622999999978,48470.193,1.5194130697400858,0.9253625418821834,1.3237256670880722,0.07512556581743074
Heathcare Information and Technology,115,1927.9700000000003,11442.421000000002,0.1684931886355169,18008.863,1.5738682399467734,16226.892000000002,15621.74300000001,12418.49500000002,1.0387376107774908,1.3066713800665841,1.4181345014311217,0.024622228934280354
Homebuilding,30,1533.8899999999999,16024.443999999998,0.09572188588883335,11748.837000000003,0.7331821934040273,11528.129000000003,12219.448999999997,14729.583000000006,0.9434246175911865,0.7826514165404409,0.719408985422521,0.0800055981891012
Hospitals/Healthcare Facilities,31,988.3822000000001,10587.484000000002,0.09335383175077289,12608.8,1.1909156131900644,12503.564999999999,6885.206000000001,8314.159000000007,1.8160044884641064,1.50388812626749,1.180976046811499,0.02324362589938683
Hotel/Gaming,63,4468.045,24441.622000000007,0.1828047663939815,32179.880000000005,1.316601655978478,27627.525000000005,21510.92600000001,29430.595,1.284348474816937,0.9387348437909598,1.1303474458446332,0.049603347588982626
Household Products,110,16754.746,24915.50099999999,0.6724627371530681,17209.388000000003,0.6907100924841932,15553.434000000003,24324.48999999999,22779.802000000003,0.6394145982094592,0.6827730109331065,0.6242472908732604,0.03138813877470186
Information Services,15,847.7,2643.5,0.3206733497257424,3538.37,1.3385171174579156,2997.92,3956.86,2835.960000000001,0.7576512689354691,1.0571094091595084,1.1340722526952904,0.025357620838586878
Insurance (General),21,2582.1079999999997,7046.812999999998,0.3664220974786759,4010.782,0.5691625419888396,-10596.832999999999,9866.094,28245.084000000006,-1.074065683947467,-0.3751744197326514,-1.5037766718089443,0.024967292240062125
Insurance (Life),20,6322.820000000001,18814.110000000004,0.3360679830191276,17713.203,0.9414850343704804,16187.303000000002,17706.757000000005,22119.088000000003,0.9141879001332653,0.7318250643968685,0.8603810119107413,0.1966940474769901
Insurance (Prop/Cas.),57,10949.780999999994,48696.63999999998,0.2248570127220276,25530.087999999996,0.5242679577071439,24091.177999999996,47941.89299999998,49884.463999999985,0.5025078588365296,0.4829394979567186,0.4947195124756042,0.046752606734882574
Investments & Asset Management,283,21514.293000000005,36940.71099999999,0.5824006202804275,36336.42,0.983641598019053,23564.042999999998,2454.830999999999,22207.214000000007,9.59904897730231,1.06109856914064,0.6378881824987074,0.0992207600520097
Machinery,105,6954.040999999999,20804.483999999997,0.33425683617051016,18732.537000000004,0.9004086330619883,17350.934000000005,22524.532999999996,22559.628999999983,0.7703127074821045,0.7691143325096356,0.8339997281355311,0.029141915386561183
Metals & Mining,73,3335.5,6414.491,0.5199944937174282,3497.668,0.5452760008549392,1894.524,3388.0769999999998,3056.5919999999996,0.5591738322358081,0.6198157948460247,0.295350636550897,0.046322445348490886
Office Equipment & Services,14,341.1599999999999,594.318,0.5740361220760601,900.77,1.5156364101373339,880.586,406.646,359.5749999999998,2.1654854590971016,2.4489633595216587,1.481674793629,0.055467908881732406
Oil/Gas (Integrated),4,30447.488,44951.6,0.6773393605566876,63620.18,1.4153040158748522,62637.178,42336.327999999994,41478.327999999994,1.479513716919427,1.510118199557128,1.3934360067272356,0.024405283836666014
Oil/Gas (Production and Exploration),142,14786.459980000001,35460.173,0.4169878127780144,31237.432999999997,0.8809159786107077,25430.772999999997,963.2000000000286,9752.632000000056,26.402380606311507,2.607580497244216,0.7171643804445059,0.027276696052157344
Oil/Gas Distribution,23,9873.14,14219.285,0.6943485555005051,13627.616999999998,0.958389750258188,11143.116999999998,1136.9449999999977,10848.493999999977,9.80092880482347,1.0271579631237315,0.7836622586860027,0.008908789544758232
Oilfield Svcs/Equip.,97,9182.870000000003,15285.653999999995,0.6007508739894286,23550.493,1.540692534320089,21944.068,14645.449999999983,21411.476999999984,1.4983539597622486,1.024874089723003,1.4355988955395698,0.055928142862870525
Packaging & Container,19,2767.8,4979.626,0.555824875201471,6192.389999999999,1.243545197972699,5816.03,3276.4279999999967,5209.48799999999,1.7751130194223728,1.1164302518788816,1.1679652246975978,0.03460978570776237
Paper/Forest Products,6,1261.0,379.2,3.32542194092827,1492.3,3.93539029535865,1492.3,98.2,223.4000000000001,15.196537678207738,6.679946284691134,3.93539029535865,0.06252225788526006
Power,46,27437.156000000006,49923.960000000014,0.5495789196209595,28249.540000000005,0.565851346728104,17260.230000000003,-44739.143000000004,15713.166999999987,,1.0984564728421722,0.34573038677220314,0.0144784011965326
Precious Metals,56,2610.8014999999996,10380.526000000003,0.25150955741549114,5309.584999999999,0.5114947932310941,3903.634999999999,7240.689000000007,3824.698000000006,0.5391247987587915,1.0206387537002903,0.37605367974609355,0.04531636337243584
Publishing & Newspapers,19,454.2020000000001,1967.199,0.23088767328572254,1035.207,0.5262340007289553,1024.7520000000002,2128.0940000000005,1674.7630000000017,0.4815351201591659,0.6118788150920453,0.5209193375962473,0.06754838821026646
R.E.I.T.,190,54420.04350000001,27926.05199999999,1.9487195504756645,46810.65900000002,1.6762361897772031,8498.56700000001,64257.505,132649.12700000778,0.13225796737672915,0.06406802059088947,0.30432396960372393,0.019067870320492734
Real Estate (Development),14,0.0,260.199,0.0,12.85,0.049385278190923095,-853.9179999999999,527.102,662.0849999999996,-1.620024207838331,-1.2897407432580414,-3.281788169823865,0.15212760300522743
Real Estate (General/Diversified),12,62.900000000000006,233.28,0.26963305898491086,95.077,0.40756601508916324,94.797,124.16099999999997,129.40099999999984,0.7635006161355016,0.7325832103306784,0.4063657407407407,0.07830585713347422
Real Estate (Operations & Services),54,360.13,1331.2250000000004,0.27052526808015165,2854.0359999999996,2.143917068865142,1733.2609999999995,2589.491,1590.8800000000047,0.6693442842628144,1.08949826511113,1.3020045446862845,0.04978497600878914
Recreation,49,1148.6999999999996,-2604.885,0.00562724438125783,3088.6259999999997,,2750.787,-2488.506,-2720.3109999999997,,,-1.056010917948393,0.05622187183502513
Reinsurance,1,237.0,867.0,0.27335640138408307,351.0,0.40484429065743943,347.0,519.8,1182.8,0.6675644478645634,0.2933716604666892,0.4002306805074971,0.24111508039357982
Restaurant/Dining,64,11348.427999999998,17583.246999999985,0.6454113964275203,18587.011,1.0570863845568463,17267.208,12592.447999999984,17559.71999999998,1.3712352038301068,0.9833418756107739,0.9820261297586284,0.01990750943642716
Retail (Automotive),34,644.6489999999999,9510.425999999998,0.06778339897708052,7657.513000000001,0.805170346733154,5445.077,7479.805999999998,10940.626000000004,0.7279703511026893,0.4976933678200862,0.5725376549904285,0.020772624176115553
Retail (Building Supply),14,12039.951,22293.120000000003,0.5400747405477563,14435.190999999999,0.6475177543565009,13759.190999999999,18907.955000000005,23249.18400000001,0.7276932381106257,0.5918139320502601,0.6171944976746188,0.008076989118458873
Retail (Distributors),62,5012.065000000001,14258.508000000005,0.35151398729796973,10799.800000000003,0.7574284770889071,6319.979000000004,2699.2560000000035,9998.177999999993,2.3413781427178435,0.6321130710015374,0.44324265904960053,0.02363818330183412
Retail (General),23,13006.525,110912.25499999999,0.11726860120191408,29796.525,0.26864952840423273,29455.575,33423.91999999999,31910.219999999994,0.881272304385602,0.923076525326369,0.26557547675863236,0.02684541547980239
