Industry Name,Number of Firms,Beta,ROE,Cost of Equity,(ROE - COE),BV of Equity,Equity EVA (US $ millions),ROC,Cost of Capital,(ROC - WACC),BV of Capital,EVA (US $ millions),E/(D+E),Std Dev in Stock,Cost of Debt,Tax Rate,After-tax Cost of Debt,D/(D+E)
Computers/Peripherals,36,1.3503292085851684,-0.0017413160406024974,0.09972468270289851,-0.10146599874350101,114471.667,-11614.982019988467,0.4476035274383902,0.09707073132665844,0.35053279611173177,325075.43026997347,113949.59951975809,0.9557968962195064,0.5457679517178851,0.052913,0.05911353077642165,0.039684750000000005,0.04420310378049363
Construction Supplies,40,1.1503560568511637,0.22855656826808135,0.0908058801355619,0.13775068813251945,94374.155,13000.10479317505,0.16706062867511484,0.08289517926725504,0.0841654494078598,152903.9816437458,12869.232331297011,0.8501814547512858,0.35513321135865794,0.050671999999999995,0.16038852383860958,0.038003999999999996,0.14981854524871416
Diversified,20,0.8809551761105191,0.11373244135744745,0.07879060085452916,0.03494184050291829,657734.074,22982.439107042657,0.14821356557111473,0.07296118587169716,0.07525237969941757,684745.1266940811,51528.700271308786,0.8654059844285302,0.2841172358254972,0.047306,0.02756045788007777,0.0354795,0.13459401557146977
Drugs (Biotechnology),496,1.1352650325488571,-0.0567224880686716,0.09013282045167903,-0.1468553085203506,192842.1049999999,-28319.886825488833,0.03525374326558564,0.08494335246520258,-0.049689609199616944,550049.9954584265,-27331.769314580288,0.8846440630087472,0.7567979803880647,0.060195,0.010795122386082115,0.04514625,0.1153559369912528
Drugs (Pharmaceutical),228,0.9828330980612211,0.24044099573432734,0.08333435617353047,0.15710663956079687,299620.04099999997,47072.29778657818,0.16949548287090127,0.07848751166460263,0.09100797120629864,604422.4486405352,55007.26080231835,0.8730797362167346,0.7664492440646036,0.060195,0.029938702770438724,0.04514625,0.12692026378326532
Education,32,0.7809055888612572,0.15904839202146528,0.07432838926321207,0.08472000275825321,15425.889999999994,1306.8814433485102,0.15944153901851482,0.06753811810806143,0.09190342091045339,20364.735111227306,1871.588822657012,0.803996597945147,0.4723775113573218,0.052913,0.15540367121320292,0.039684750000000005,0.19600340205485298
Electrical Equipment,112,1.2511238546074688,0.015254544403730292,0.09530012391549311,-0.08004557951176282,82931.28699999998,-6638.282927571321,0.15595603913111394,0.08992520361989992,0.06603083551121403,81731.74298699912,5396.815277219359,0.8928314031205313,0.7271388016174681,0.060195,0.048160938724098754,0.04514625,0.10716859687946864
Electronics (Consumer & Office),8,0.8659780184815811,-0.2880927953264372,0.07812261962427852,-0.36621541495071575,828.49,-303.40580913251847,-0.0834551474050309,0.07631357052138382,-0.15976871792641473,1901.8635073077733,-303.8582942335974,0.9451410472557655,0.7018361349746528,0.060195,0.0,0.04514625,0.05485895274423452
Electronics (General),114,0.9714771307987942,0.12615730756275645,0.08282788003362622,0.04332942752913023,88215.74600000001,3822.3377732351605,0.17911725405258233,0.0785483150088035,0.10056893904377884,93700.18876956029,9423.32857275648,0.9008054116266668,0.5183878524748988,0.052913,0.08036356729856782,0.039684750000000005,0.09919458837333321
Engineering/Construction,48,1.2099722611351151,0.2613749950535173,0.09346476284662614,0.16791023220689116,37981.532999999996,6377.488025603699,0.2531760347582192,0.08685545161468271,0.16632058314353648,38499.25859253971,6403.219139705012,0.8771046922061482,0.4592364631713382,0.052913,0.1363531807406391,0.039684750000000005,0.12289530779385183
Entertainment,92,0.8251696372652437,0.06092763111377839,0.07630256582202988,-0.015374934708251485,188131.98199999993,-2892.5169397839427,0.12420599801084616,0.07127529087570077,0.05293070713514539,213734.91998415056,11313.140454234806,0.8627095900322758,0.48706590208810535,0.052913,0.03304355681192803,0.039684750000000005,0.1372904099677242
Environmental & Waste Services,53,0.9454812982377585,0.1973829594869194,0.08166846590140403,0.11571449358551536,32867.507999999994,3803.247043637874,0.31754796538384716,0.07425419573500486,0.2432937696488423,35262.81194118144,8579.222445588242,0.8234012876847037,0.5491271709973529,0.052913,0.04267831701608498,0.039684750000000005,0.17659871231529634
Farming/Agriculture,35,1.1291737409456368,0.1204025921309046,0.08986114884617541,0.030541443284729186,72230.91999999998,2206.0365465838104,0.07277942934792668,0.07272847417372198,5.095517420469764e-05,160518.44911281936,8.179245537611603,0.658551130283848,0.507938158066483,0.052913,0.06294399257877176,0.039684750000000005,0.3414488697161519
Financial Svcs. (Non-bank & Insurance),176,0.9697132427444908,0.28817318153849353,0.0827492106264043,0.20542397091208925,450298.5750000002,92502.12137255528,,0.05002808150982288,,8291784.2259324975,,0.2687233190210403,0.42469192147740364,0.050671999999999995,0.12056567700542625,0.038003999999999996,0.7312766809789597
Food Processing,78,0.6074530378003583,0.04604119204406767,0.06659240548589598,-0.020551213441828316,176462.13399999996,-3626.5109802345087,0.15949707214923414,0.05789381991348973,0.10160325223574442,174015.70207912903,17680.5612713259,0.6957302995895424,0.4346763943257051,0.050671999999999995,0.10372593278493082,0.038003999999999996,0.30426970041045764
Food Wholesalers,13,0.866641638658665,0.18220724511066666,0.07815221708417647,0.10405502802649019,14914.61,1551.940161554171,0.17837019301943033,0.06532155653709673,0.1130486364823336,30089.53202065301,3401.5805673263385,0.6804176753309266,0.3397822415435992,0.050671999999999995,0.09152840668006618,0.038003999999999996,0.3195823246690734
