Industry Name,Number of firms,Beta ,D/E Ratio,Effective Tax rate,Unlevered beta,Cash/Firm value,Unlevered beta corrected for cash,HiLo Risk,Standard deviation of equity,Standard deviation in operating income (last 10 years),2022,2023,2024,2025,Average (2022-2026)
Brokerage & Investment Banking,32,1.171457071047836,1.3557362534403625,0.15273177578181318,0.5808487698048416,0.14506015247562656,0.6794030848916329,0.42206737565162095,0.366085597210624,,0.6700703117819938,0.6937505627531657,0.55,0.47,0.6126447918853584
Building Materials,41,1.1115321733442423,0.25998303924525584,0.1802113978781021,0.9301623477287291,0.03161305724944799,0.9605275604881124,0.40986010917831023,0.35282100910190417,0.3806004788532296,1.0871499229138373,1.0983592603350816,1.21,1.23,1.1172073487474061
Business & Consumer Services,155,0.8879785335242745,0.19716100170472986,0.10382630217002471,0.7735875598670026,0.04024363311198222,0.8060249314889546,0.5301773694386264,0.41106991639716206,0.2710173322079462,0.9861131480384713,1.0198687734730703,0.93,0.92,0.9324013706000993
Cable TV,9,0.7407444081777597,1.469394514839746,0.10643042905457614,0.3523921209643926,0.028893507091752747,0.36287690746362616,0.4440901519592926,0.4404071378928042,0.2688170387770877,0.6641386109632104,0.7059202442851957,0.74,0.5,0.5945871525424065
Chemical (Basic),29,1.0122471500989898,0.9935397565078776,0.07683856093152415,0.5800328658623819,0.08912014780552291,0.6367830669050106,0.535444966705913,0.4580970692608343,0.39281685860374327,0.9371284252203465,0.9589900308465779,0.87,0.86,0.852580304594387
Chemical (Diversified),4,0.8507028562562596,1.7610998877970157,0.0,0.36655193179254153,0.09748112709643042,0.40614323179001943,0.42303926014131843,0.3903520023839609,0.4563886737099081,1.2079101125783385,1.0902565654988166,0.81,0.58,0.8188619819734348
Chemical (Specialty),59,0.9697828817775749,0.29882962373710314,0.13675158334443216,0.7922271711710575,0.039108107846628735,0.8244706586041288,0.4094843058839141,0.42305160954750315,0.21758050246049163,0.997722954089115,1.1152530501630955,0.94,0.79,0.9334893325712678
Coal & Related Energy,16,1.0709931914897641,0.07142984737214478,0.03125,1.0165349872490315,0.14030603264913963,1.1824381999346527,0.6619189868384981,0.6431490912216578,2.4250301475560985,0.819710873327334,1.4289145880963197,1.24,1.27,1.1882127322716614
Computer Services,64,1.0878559034733686,0.25100122596094754,0.10526994226576537,0.9155102559970569,0.048030253728172795,0.9617009989891427,0.5715390929381887,0.5342530314325552,0.19627646925475156,1.0576213168025859,0.9932217950326541,0.86,1.09,0.9925088221648766
Computers/Peripherals,36,1.3503292085851684,0.04624738158842277,0.05911353077642165,1.3050624188250832,0.01474015694541099,1.3245870396777912,0.5570782029943967,0.5457679517178851,0.3056919037558648,1.2487708944175273,1.227042372213005,1.1,1.12,1.204080061261665
Construction Supplies,40,1.1503560568511637,0.17621949339337503,0.16038852383860958,1.0160678372067562,0.029385735087736495,1.0468296973758173,0.4302290616017562,0.35513321135865794,0.38599803246226416,0.9796485993062782,1.0760610533922743,0.99,1.15,1.048507870014874
Diversified,20,0.8809551761105191,0.15552702199112797,0.02756045788007777,0.7889302024061987,0.06424659262771254,0.8430962646682882,0.5557774635262347,0.2841172358254972,0.6989946731901048,0.7021414621539441,0.9394964138236339,1.09,1.01,0.9169468281291732
Drugs (Biotechnology),496,1.1352650325488571,0.13039813617119383,0.010795122386082115,1.034128692045902,0.04198898589831489,1.079453865168337,0.6431233872977022,0.7567979803880647,0.40521408201890785,0.9722328956942816,1.1994489579084946,1.09,1.17,1.1022271437542226
Drugs (Pharmaceutical),228,0.9828330980612211,0.14537075884184583,0.029938702770438724,0.8862112018778732,0.031607075278297876,0.915135973481584,0.6840671510230288,0.7664492440646036,0.2676796079178559,1.009823573553889,1.1808060946282533,0.94,0.98,1.0051531283327453
Education,32,0.7809055888612572,0.24378635749927063,0.15540367121320292,0.6601955817730791,0.08255178105333023,0.719599829329938,0.5006386723025373,0.4723775113573218,0.37790461695864075,1.1033169078612295,0.9937160802737702,1.15,0.92,0.9773265634929876
Electrical Equipment,112,1.2511238546074688,0.12003228885644493,0.048160938724098754,1.1477945494288007,0.03531033289858355,1.1898070318069807,0.6770752062132696,0.7271388016174681,0.19790672009764704,1.194327330306878,1.4326548798323873,1.15,1.2,1.2333578483892491
