Industry Name,Number of Firms,Beta,Cost of Equity,E/(D+E),Std Dev in Stock,Cost of Debt,Tax Rate,After-tax Cost of Debt,D/(D+E),Cost of Capital,Cost of Capital (Local Currency)
Retail (REITs),26,0.620739021744814,0.0671849603698187,0.6393051931486502,0.18768911101931,0.047306,0.016032624227080367,0.0354795,0.3606948068513498,0.055748965465593825,0.055748965465593825
Retail (Special Lines),94,1.0893996802924664,0.088087225741044,0.834996515151311,0.5324516747558207,0.052913,0.10067307943310284,0.039684750000000005,0.16500348484868899,0.0801006485684676,0.08010064856846766
Rubber& Tires,3,0.5294301574135339,0.06311258502064361,0.21811565703705116,0.5076716036736197,0.052913,0.0,0.039684750000000005,0.7818843429629488,0.04479472762848332,0.044794727628483244
Semiconductor,66,1.5181994029054893,0.10721169336958483,0.9747433781954636,0.5582720818010325,0.052913,0.05106370873021537,0.039684750000000005,0.02525662180453636,0.10550619089928288,0.10550619089928293
Semiconductor Equip,31,1.3972234247394333,0.10181616474337873,0.9536409808998203,0.5007740861926404,0.052913,0.099620953538418,0.039684750000000005,0.0463590191001797,0.09893581330056925,0.09893581330056933
Shipbuilding & Marine,8,0.7529325380371511,0.07308079119645694,0.8159921626835454,0.500867632683849,0.052913,0.052561473759605716,0.039684750000000005,0.18400783731645465,0.06693565788096567,0.06693565788096567
Shoe,11,1.0173183278612625,0.08487239742261231,0.8932979816071588,0.500827620601969,0.052913,0.11861173771031724,0.039684750000000005,0.10670201839284121,0.0800507842361955,0.0800507842361955
Software (Entertainment),77,1.028311248084757,0.08536268166458016,0.9799635687227297,0.5706184370658361,0.052913,0.05286401405640245,0.039684750000000005,0.020036431277270284,0.08444745892589496,0.084447458925895
Software (Internet),29,1.6886761161660595,0.11481495478100626,0.8904805826162221,0.526123151821511,0.052913,0.03054366211647507,0.039684750000000005,0.1095194173837779,0.10658673852546652,0.10658673852546663
Software (System & Application),309,1.276648178078175,0.09643850874228661,0.9471748112420303,0.5678932632947824,0.052913,0.05509792802786181,0.039684750000000005,0.05282518875796971,0.09344048072400105,0.09344048072400102
Steel,19,1.062846247426205,0.08690294263520874,0.8096318639066042,0.38509854793902265,0.050671999999999995,0.09275991753479733,0.038003999999999996,0.19036813609339576,0.07759414206880617,0.07759414206880622
Telecom (Wireless),12,0.5381352736640138,0.06350083320541502,0.6581255234923467,0.40180999688678365,0.050671999999999995,0.04023108287054421,0.038003999999999996,0.34187447650765335,0.0547841167007108,0.054784116700710817
Telecom. Equipment,57,0.9232195753877382,0.08067559306229313,0.9155601866693409,0.5526305461735282,0.052913,0.07062863646712804,0.039684750000000005,0.08443981333065909,0.07721433392584677,0.07721433392584687
Telecom. Services,39,0.6287201518745624,0.06754091877360549,0.5100396006745912,0.6028775992480886,0.052913,0.034002984466728295,0.039684750000000005,0.4899603993254088,0.05389249919761376,0.05389249919761374
Tobacco,10,0.794314579701523,0.07492643025468793,0.8132163744456251,0.659579872239021,0.060195,0.1476725198349122,0.04514625,0.1867836255543749,0.0693639802170545,0.06936398021705448
Transportation,19,0.8599219267913129,0.07785251793489256,0.7328715493961502,0.381329406156173,0.050671999999999995,0.08538457407963723,0.038003999999999996,0.2671284506038498,0.06720784508008498,0.06720784508008504
Transportation (Railroads),4,0.9751457485154854,0.08299150038379065,0.782524270651581,0.23898485836689182,0.047306,0.16983557424101936,0.0354795,0.21747572934841897,0.0726587934475234,0.07265879344752335
Trucking,26,1.0113489285521289,0.08460616221342496,0.7985201922699252,0.35290917410983413,0.050671999999999995,0.12598448805395965,0.038003999999999996,0.2014798077300748,0.07521676753085833,0.07521676753085837
Utility (General),14,0.2394349278899265,0.05017879778389073,0.5510118817818566,0.14962031044448046,0.047306,0.12765942282237325,0.0354795,0.44898811821814344,0.0435789877327735,0.043578987732773466
Utility (Water),14,0.4126827948416138,0.057905652649935975,0.6159173551962636,0.2959850912260439,0.047306,0.11191995155470791,0.0354795,0.38408264480373644,0.04929215662737624,0.04929215662737629
